ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0132,3.1,4.8,2.6,2.4,3.4,3.3,4.2,2.9,2.3,1.1,1.3,30,1,Kanto
SBZ0133,3.9,3.3,3.9,3.4,3.7,3.4,2,2.3,1.8,1,1.6,30,1,Hokuriku
SBZ0134,3.3,4.1,2.7,2.2,3.2,2.5,3.6,1.4,2.4,1.1,2.5,30,1,Kinki
SBZ0135,3.3,3,2.8,3.2,3,3,2.9,3.2,2.7,1.6,1.8,30,0,Hokkaido
SBZ0136,2.9,4.6,2.2,3.5,2.6,3.1,3.1,1.8,2.4,1,1.2,30,1,Kyushu
SBZ0137,3.1,3,2.7,3.3,2.7,2.8,2.2,2,2.1,1.7,1.8,30,0,Hokkaido
SBZ0138,3.3,4,2.1,2.4,3.1,2.9,3.3,2.1,2.4,1.2,2.4,40,1,Chugoku
SBZ0139,3.7,4.1,1.6,3.1,3.3,2.6,4.1,1.2,1.7,1,1,30,1,Kinki
SBZ0140,3.2,2.7,3.1,3,3.2,3,3.2,2.8,2.9,1,1.2,20,1,Kanto
SBZ0141,2.9,3.9,1.9,2.2,2.5,3.3,3.6,1.4,2.7,1.3,1.6,30,1,Kanto
SBZ0142,3.7,2.8,3.7,3.1,3.6,4.3,3.3,2.2,2,1,1,40,0,Kanto
SBZ0143,3.2,4.1,2.4,2.7,2.9,3.4,3.9,1.9,2.2,1,1.1,40,1,Kanto
SBZ0144,3.6,3.1,2.9,3,3.9,2.9,3.3,3,2.9,1,1.8,50,0,Kanto
SBZ0145,3,3.2,2.7,3,3,2.7,3.9,2,1.7,1.3,2,30,1,Kinki
SBZ0146,3.4,3.4,1.2,2.2,3,3.1,3.3,1.7,2.6,1.1,2.5,30,1,Kanto
SBZ0147,3.2,3.5,3.8,4.1,3.6,3.8,3.1,3.1,1.8,1.1,2,20,1,Kinki
SBZ0148,3.8,4,3,3.3,3.4,3.5,3.1,2.1,1.8,1.1,1.6,30,1,Kinki
SBZ0149,2.9,3.6,3.2,2.7,2.2,3.4,3.8,2.6,1.9,1,1.8,30,1,Shinetsu
SBZ0150,3.8,3.5,2.7,3.8,3.1,3.7,2.8,1.6,1.3,1,1.2,40,1,Kinki
SBZ0151,3.9,3.7,2.3,2.7,3.5,3.5,3.3,2.1,1.9,1.1,1.2,40,0,Kanto
SBZ0152,3.2,3.4,2.2,3.1,2.9,2.4,3.4,2.9,2.3,1.3,2.5,30,1,Kanto
SBZ0153,3.5,3.8,1.6,2.5,2.1,2.5,3.8,1.7,1.8,1.8,1.2,40,1,Hokkaido
SBZ0154,3.8,3.5,2.9,3.1,3.5,3.3,2.6,2.7,1.4,1,1.8,40,1,Kanto
SBZ0155,1.9,2.5,4.7,2,2.8,3.9,3,4,2.6,1.7,2.5,30,0,Kanto
SBZ0156,3.5,3.9,1.5,2.6,3.3,3.4,4.1,1.8,2.1,1.2,1,30,0,Tokai
SBZ0157,3.4,3.8,3,3.5,3.4,2.3,3.1,2.4,2.6,1,1.5,30,1,Kinki
SBZ0158,3.2,2.1,3.7,4.4,3.5,4.3,3.2,3.9,2.3,1,1.2,30,0,Kyushu
SBZ0159,3.6,4,3.8,3.6,3.3,2.7,4,1.4,1.6,1.3,1.3,50,1,Kanto
SBZ0160,2.6,3.3,2.6,2.5,3,2.7,2.4,1.2,2,1.1,1.2,30,1,Kyushu
SBZ0161,2.6,2.6,2.9,3.1,3.7,3.6,4.7,2.9,2,1.3,1.2,20,1,Shinetsu
SBZ0162,3.4,3.2,4,3.7,3.3,4.4,4.4,3.1,2.2,1,2.3,20,0,Kinki
SBZ0163,2.6,2.8,4,3.2,3.4,2.7,4.3,4.3,3.3,1.3,4.2,50,1,Kanto
SBZ0164,3,3.5,2.9,3.4,3.5,3.4,3.8,2.6,2.4,1,2.5,40,1,Kinki
SBZ0165,3.6,2.7,2.5,3.3,3.4,2.8,3.3,2.4,2.3,1,2.2,10,1,Kanto
SBZ0166,2.7,3.8,2.6,3.3,3.8,3.3,3.8,3.1,2.1,1.1,1.2,40,1,Tokai
SBZ0167,3.4,3.7,2.5,2.2,3.4,2.6,3.2,2,2.3,1.1,1.2,40,1,Kanto
SBZ0168,3,3,3,2.8,3.2,3.2,4,3.1,3.2,1,1,30,1,Kanto
SBZ0169,3,3,3,3,3,3,4,3.6,3.4,1.1,1.7,20,1,Kinki
SBZ0170,3,3.1,3,2.9,3,3,3.7,3.4,3.7,1.3,1.6,30,1,Kanto
SBZ0171,3,3.6,2.9,2.7,2.9,3.1,3.9,2.7,4,1,1,30,1,Tokai
SBZ0172,3.5,4,3.4,3.4,3.9,2.9,3.3,1.6,1.8,1.1,1.5,30,1,Hokkaido
SBZ0173,3.2,3.8,3,2.6,3.1,3.2,4.2,3.3,3.6,1.1,1.4,20,1,Tohoku
SBZ0174,3.3,3.5,3,2.8,3.4,3.2,3.7,3.2,3.4,1.2,1.4,30,1,Kanto
SBZ0175,2.8,4,2.4,2.4,2.7,3.2,4.2,1.7,2.7,1.5,2.2,20,1,Kanto
SBZ0176,3,3.5,3.2,2.9,3.2,3.3,4,3.3,3.3,1.1,1.1,20,1,Kanto
SBZ0177,3.5,3.4,3.4,2.9,3.4,3.4,4.8,3.2,3.4,1.1,1.6,20,1,Kanto
SBZ0178,3.5,3.3,3.2,3.1,3.2,3.3,2.2,2.4,2,1.6,1.9,20,1,Kanto
SBZ0179,3.4,3.5,3.4,3.2,3.5,3.6,4.1,3.9,3.6,1,1,30,1,Hokkaido
SBZ0180,3.5,3.3,3.1,3.4,3.6,4,4.4,3.8,3.2,1,1,30,1,Shinetsu
